Census Year,Measure,Area Unit,Area Unit Code,Value,Value Unit,Value Label,Null Reason
2001,Median household income ($),Awanui,Awanui,26300,nzd,NZD,
2006,Median household income ($),Awanui,Awanui,30300,nzd,NZD,
2013,Median household income ($),Awanui,Awanui,46700,nzd,NZD,
2001,Median household income ($),Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,26200,nzd,NZD,
2006,Median household income ($),Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,34500,nzd,NZD,
2013,Median household income ($),Karikari Peninsula-Maungataniwha,Karikari Peninsula-Maungataniwha,37700,nzd,NZD,
2001,Median household income ($),Taipa Bay-Mangonui,Taipa Bay-Mangonui,25900,nzd,NZD,
2006,Median household income ($),Taipa Bay-Mangonui,Taipa Bay-Mangonui,29100,nzd,NZD,
2013,Median household income ($),Taipa Bay-Mangonui,Taipa Bay-Mangonui,37900,nzd,NZD,
2001,Median household income ($),Herekino,Herekino,33000,nzd,NZD,
2006,Median household income ($),Herekino,Herekino,45800,nzd,NZD,
2013,Median household income ($),Herekino,Herekino,54400,nzd,NZD,
2001,Median household income ($),Ahipara,Ahipara,28600,nzd,NZD,
2006,Median household income ($),Ahipara,Ahipara,35100,nzd,NZD,
2013,Median household income ($),Ahipara,Ahipara,41800,nzd,NZD,
2001,Median household income ($),North Cape,North Cape,25800,nzd,NZD,
2006,Median household income ($),North Cape,North Cape,34200,nzd,NZD,
2013,Median household income ($),North Cape,North Cape,37500,nzd,NZD,
2001,Median household income ($),Houhora,Houhora,28900,nzd,NZD,
2006,Median household income ($),Houhora,Houhora,32200,nzd,NZD,
2013,Median household income ($),Houhora,Houhora,37000,nzd,NZD,
2001,Median household income ($),Motutangi-Kareponia,Motutangi-Kareponia,28800,nzd,NZD,
2006,Median household income ($),Motutangi-Kareponia,Motutangi-Kareponia,38600,nzd,NZD,
2013,Median household income ($),Motutangi-Kareponia,Motutangi-Kareponia,48700,nzd,NZD,
2001,Median household income ($),Kaitaia West,Kaitaia West,25100,nzd,NZD,
2006,Median household income ($),Kaitaia West,Kaitaia West,27800,nzd,NZD,
2013,Median household income ($),Kaitaia West,Kaitaia West,33500,nzd,NZD,
2001,Median household income ($),Kaitaia East,Kaitaia East,27400,nzd,NZD,
2006,Median household income ($),Kaitaia East,Kaitaia East,32500,nzd,NZD,
2013,Median household income ($),Kaitaia East,Kaitaia East,34900,nzd,NZD,
2001,Median household income ($),Kaeo,Kaeo,26500,nzd,NZD,
2006,Median household income ($),Kaeo,Kaeo,32500,nzd,NZD,
2013,Median household income ($),Kaeo,Kaeo,32100,nzd,NZD,
2001,Median household income ($),Mangapa-Matauri Bay,Mangapa-Matauri Bay,26600,nzd,NZD,
2006,Median household income ($),Mangapa-Matauri Bay,Mangapa-Matauri Bay,34900,nzd,NZD,
2013,Median household income ($),Mangapa-Matauri Bay,Mangapa-Matauri Bay,38500,nzd,NZD,
2001,Median household income ($),Kohukohu,Kohukohu,15300,nzd,NZD,
2006,Median household income ($),Kohukohu,Kohukohu,23300,nzd,NZD,
2013,Median household income ($),Kohukohu,Kohukohu,23800,nzd,NZD,
2001,Median household income ($),Rawene,Rawene,22500,nzd,NZD,
2006,Median household income ($),Rawene,Rawene,31300,nzd,NZD,
2013,Median household income ($),Rawene,Rawene,30100,nzd,NZD,
2001,Median household income ($),Omapere and Opononi,Omapere and Opononi,19300,nzd,NZD,
2006,Median household income ($),Omapere and Opononi,Omapere and Opononi,24300,nzd,NZD,
2013,Median household income ($),Omapere and Opononi,Omapere and Opononi,26500,nzd,NZD,
2001,Median household income ($),Hokianga North,Hokianga North,25100,nzd,NZD,
2006,Median household income ($),Hokianga North,Hokianga North,26400,nzd,NZD,
2013,Median household income ($),Hokianga North,Hokianga North,29900,nzd,NZD,
2001,Median household income ($),Hokianga South,Hokianga South,20400,nzd,NZD,
2006,Median household income ($),Hokianga South,Hokianga South,24600,nzd,NZD,
2013,Median household income ($),Hokianga South,Hokianga South,30500,nzd,NZD,
2001,Median household income ($),Kerikeri,Kerikeri,32200,nzd,NZD,
2006,Median household income ($),Kerikeri,Kerikeri,43000,nzd,NZD,
2013,Median household income ($),Kerikeri,Kerikeri,48300,nzd,NZD,
2001,Median household income ($),Russell,Russell,29000,nzd,NZD,
2006,Median household income ($),Russell,Russell,42500,nzd,NZD,
2013,Median household income ($),Russell,Russell,42100,nzd,NZD,
2001,Median household income ($),Paihia,Paihia,29900,nzd,NZD,
2006,Median household income ($),Paihia,Paihia,39500,nzd,NZD,
2013,Median household income ($),Paihia,Paihia,47800,nzd,NZD,
2001,Median household income ($),Haruru Falls,Haruru Falls,32500,nzd,NZD,
2006,Median household income ($),Haruru Falls,Haruru Falls,42000,nzd,NZD,
2013,Median household income ($),Haruru Falls,Haruru Falls,46100,nzd,NZD,
2001,Median household income ($),Opua East,Opua East,29300,nzd,NZD,
2006,Median household income ($),Opua East,Opua East,54400,nzd,NZD,
2013,Median household income ($),Opua East,Opua East,41700,nzd,NZD,
2001,Median household income ($),Kawakawa,Kawakawa,28000,nzd,NZD,
2006,Median household income ($),Kawakawa,Kawakawa,36900,nzd,NZD,
2013,Median household income ($),Kawakawa,Kawakawa,37500,nzd,NZD,
2001,Median household income ($),Moerewa,Moerewa,25500,nzd,NZD,
2006,Median household income ($),Moerewa,Moerewa,35900,nzd,NZD,
2013,Median household income ($),Moerewa,Moerewa,35400,nzd,NZD,
2001,Median household income ($),Opua West,Opua West,35000,nzd,NZD,
2006,Median household income ($),Opua West,Opua West,46700,nzd,NZD,
2013,Median household income ($),Opua West,Opua West,58300,nzd,NZD,
2001,Median household income ($),Bay of Islands,Bay of Islands,13300,nzd,NZD,
2006,Median household income ($),Bay of Islands,Bay of Islands,,nzd,NZD,confidential
2013,Median household income ($),Bay of Islands,Bay of Islands,,nzd,NZD,confidential
2001,Median household income ($),Kapiro,Kapiro,40200,nzd,NZD,
2006,Median household income ($),Kapiro,Kapiro,50900,nzd,NZD,
2013,Median household income ($),Kapiro,Kapiro,58900,nzd,NZD,
2001,Median household income ($),Waitangi,Waitangi,33100,nzd,NZD,
2006,Median household income ($),Waitangi,Waitangi,50600,nzd,NZD,
2013,Median household income ($),Waitangi,Waitangi,50200,nzd,NZD,
2001,Median household income ($),Pokere-Waihaha,Pokere-Waihaha,28900,nzd,NZD,
2006,Median household income ($),Pokere-Waihaha,Pokere-Waihaha,36900,nzd,NZD,
2013,Median household income ($),Pokere-Waihaha,Pokere-Waihaha,45400,nzd,NZD,
2001,Median household income ($),Okaihau,Okaihau,28500,nzd,NZD,
2006,Median household income ($),Okaihau,Okaihau,45700,nzd,NZD,
2013,Median household income ($),Okaihau,Okaihau,53800,nzd,NZD,
2001,Median household income ($),Ohaeawai,Ohaeawai,32200,nzd,NZD,
2006,Median household income ($),Ohaeawai,Ohaeawai,47100,nzd,NZD,
2013,Median household income ($),Ohaeawai,Ohaeawai,49400,nzd,NZD,
2001,Median household income ($),Waihou Valley-Hupara,Waihou Valley-Hupara,40100,nzd,NZD,
2006,Median household income ($),Waihou Valley-Hupara,Waihou Valley-Hupara,51500,nzd,NZD,
2013,Median household income ($),Waihou Valley-Hupara,Waihou Valley-Hupara,56900,nzd,NZD,
2001,Median household income ($),Ngapuhi-Kaikou,Ngapuhi-Kaikou,28400,nzd,NZD,
2006,Median household income ($),Ngapuhi-Kaikou,Ngapuhi-Kaikou,38600,nzd,NZD,
2013,Median household income ($),Ngapuhi-Kaikou,Ngapuhi-Kaikou,45400,nzd,NZD,
2001,Median household income ($),Kaikohe,Kaikohe,26900,nzd,NZD,
2006,Median household income ($),Kaikohe,Kaikohe,34700,nzd,NZD,
2013,Median household income ($),Kaikohe,Kaikohe,33200,nzd,NZD,
2001,Median household income ($),Opouteke-Tanekaha,Opouteke-Tanekaha,44400,nzd,NZD,
2006,Median household income ($),Opouteke-Tanekaha,Opouteke-Tanekaha,59300,nzd,NZD,
2013,Median household income ($),Opouteke-Tanekaha,Opouteke-Tanekaha,67800,nzd,NZD,
2001,Median household income ($),Marsden Point-Ruakaka,Marsden Point-Ruakaka,28400,nzd,NZD,
2006,Median household income ($),Marsden Point-Ruakaka,Marsden Point-Ruakaka,40600,nzd,NZD,
2013,Median household income ($),Marsden Point-Ruakaka,Marsden Point-Ruakaka,52000,nzd,NZD,
2001,Median household income ($),Ngunguru,Ngunguru,32100,nzd,NZD,
2006,Median household income ($),Ngunguru,Ngunguru,45300,nzd,NZD,
2013,Median household income ($),Ngunguru,Ngunguru,50100,nzd,NZD,
2001,Median household income ($),Wharekohe-Oakleigh,Wharekohe-Oakleigh,43100,nzd,NZD,
2006,Median household income ($),Wharekohe-Oakleigh,Wharekohe-Oakleigh,57600,nzd,NZD,
2013,Median household income ($),Wharekohe-Oakleigh,Wharekohe-Oakleigh,66300,nzd,NZD,
2001,Median household income ($),Maungatapere,Maungatapere,50200,nzd,NZD,
2006,Median household income ($),Maungatapere,Maungatapere,58500,nzd,NZD,
2013,Median household income ($),Maungatapere,Maungatapere,72200,nzd,NZD,
2001,Median household income ($),Waiotira-Springfield,Waiotira-Springfield,45300,nzd,NZD,
2006,Median household income ($),Waiotira-Springfield,Waiotira-Springfield,50100,nzd,NZD,
2013,Median household income ($),Waiotira-Springfield,Waiotira-Springfield,58300,nzd,NZD,
2001,Median household income ($),Whangaruru Harbour,Whangaruru Harbour,,nzd,NZD,confidential
2006,Median household income ($),Whangaruru Harbour,Whangaruru Harbour,,nzd,NZD,confidential
2013,Median household income ($),Whangaruru Harbour,Whangaruru Harbour,,nzd,NZD,confidential
2001,Median household income ($),Punaruku-Kiripaka,Punaruku-Kiripaka,35300,nzd,NZD,
2006,Median household income ($),Punaruku-Kiripaka,Punaruku-Kiripaka,44700,nzd,NZD,
2013,Median household income ($),Punaruku-Kiripaka,Punaruku-Kiripaka,54400,nzd,NZD,
2001,Median household income ($),Bream Bay,Bream Bay,40400,nzd,NZD,
2006,Median household income ($),Bream Bay,Bream Bay,47900,nzd,NZD,
2013,Median household income ($),Bream Bay,Bream Bay,56300,nzd,NZD,
2001,Median household income ($),Waipu,Waipu,29700,nzd,NZD,
2006,Median household income ($),Waipu,Waipu,39700,nzd,NZD,
2013,Median household income ($),Waipu,Waipu,46100,nzd,NZD,
2001,Median household income ($),Pataua-Whareora,Pataua-Whareora,43000,nzd,NZD,
2006,Median household income ($),Pataua-Whareora,Pataua-Whareora,54300,nzd,NZD,
2013,Median household income ($),Pataua-Whareora,Pataua-Whareora,65000,nzd,NZD,
2001,Median household income ($),Parua Bay,Parua Bay,42500,nzd,NZD,
2006,Median household income ($),Parua Bay,Parua Bay,58900,nzd,NZD,
2013,Median household income ($),Parua Bay,Parua Bay,66700,nzd,NZD,
2001,Median household income ($),Bream Head,Bream Head,35000,nzd,NZD,
2006,Median household income ($),Bream Head,Bream Head,48300,nzd,NZD,
2013,Median household income ($),Bream Head,Bream Head,54700,nzd,NZD,
2001,Median household income ($),Springs Flat,Springs Flat,44100,nzd,NZD,
2006,Median household income ($),Springs Flat,Springs Flat,53700,nzd,NZD,
2013,Median household income ($),Springs Flat,Springs Flat,68900,nzd,NZD,
2001,Median household income ($),Three Mile Bush,Three Mile Bush,48800,nzd,NZD,
2006,Median household income ($),Three Mile Bush,Three Mile Bush,74600,nzd,NZD,
2013,Median household income ($),Three Mile Bush,Three Mile Bush,81400,nzd,NZD,
2001,Median household income ($),Te Hihi,Te Hihi,46700,nzd,NZD,
2006,Median household income ($),Te Hihi,Te Hihi,62100,nzd,NZD,
2013,Median household income ($),Te Hihi,Te Hihi,78900,nzd,NZD,
2001,Median household income ($),Abbey Caves,Abbey Caves,50400,nzd,NZD,
2006,Median household income ($),Abbey Caves,Abbey Caves,66400,nzd,NZD,
2013,Median household income ($),Abbey Caves,Abbey Caves,79600,nzd,NZD,
2001,Median household income ($),Otaika-Portland,Otaika-Portland,35600,nzd,NZD,
2006,Median household income ($),Otaika-Portland,Otaika-Portland,51200,nzd,NZD,
2013,Median household income ($),Otaika-Portland,Otaika-Portland,61100,nzd,NZD,
2001,Median household income ($),Kamo West,Kamo West,34100,nzd,NZD,
2006,Median household income ($),Kamo West,Kamo West,43600,nzd,NZD,
2013,Median household income ($),Kamo West,Kamo West,52100,nzd,NZD,
2001,Median household income ($),Kamo East,Kamo East,30800,nzd,NZD,
2006,Median household income ($),Kamo East,Kamo East,43000,nzd,NZD,
2013,Median household income ($),Kamo East,Kamo East,49500,nzd,NZD,
2001,Median household income ($),Tikipunga West,Tikipunga West,29900,nzd,NZD,
2006,Median household income ($),Tikipunga West,Tikipunga West,38100,nzd,NZD,
2013,Median household income ($),Tikipunga West,Tikipunga West,39700,nzd,NZD,
2001,Median household income ($),Tikipunga East,Tikipunga East,30600,nzd,NZD,
2006,Median household income ($),Tikipunga East,Tikipunga East,41800,nzd,NZD,
2013,Median household income ($),Tikipunga East,Tikipunga East,47800,nzd,NZD,
2001,Median household income ($),Whau Valley,Whau Valley,30100,nzd,NZD,
2006,Median household income ($),Whau Valley,Whau Valley,42400,nzd,NZD,
2013,Median household income ($),Whau Valley,Whau Valley,50700,nzd,NZD,
2001,Median household income ($),Otangarei,Otangarei,19900,nzd,NZD,
2006,Median household income ($),Otangarei,Otangarei,25800,nzd,NZD,
2013,Median household income ($),Otangarei,Otangarei,28100,nzd,NZD,
2001,Median household income ($),Western Hills,Western Hills,50700,nzd,NZD,
2006,Median household income ($),Western Hills,Western Hills,66000,nzd,NZD,
2013,Median household income ($),Western Hills,Western Hills,73800,nzd,NZD,
2001,Median household income ($),Kensington,Kensington,28300,nzd,NZD,
2006,Median household income ($),Kensington,Kensington,33600,nzd,NZD,
2013,Median household income ($),Kensington,Kensington,42100,nzd,NZD,
2001,Median household income ($),Mairtown,Mairtown,26100,nzd,NZD,
2006,Median household income ($),Mairtown,Mairtown,31000,nzd,NZD,
2013,Median household income ($),Mairtown,Mairtown,35400,nzd,NZD,
2001,Median household income ($),Regent,Regent,28100,nzd,NZD,
2006,Median household income ($),Regent,Regent,37300,nzd,NZD,
2013,Median household income ($),Regent,Regent,38600,nzd,NZD,
2001,Median household income ($),Woodhill,Woodhill,30100,nzd,NZD,
2006,Median household income ($),Woodhill,Woodhill,35300,nzd,NZD,
2013,Median household income ($),Woodhill,Woodhill,45500,nzd,NZD,
2001,Median household income ($),Vinetown,Vinetown,22000,nzd,NZD,
2006,Median household income ($),Vinetown,Vinetown,30200,nzd,NZD,
2013,Median household income ($),Vinetown,Vinetown,33300,nzd,NZD,
2001,Median household income ($),Whangarei Central,Whangarei Central,25800,nzd,NZD,
2006,Median household income ($),Whangarei Central,Whangarei Central,58000,nzd,NZD,
2013,Median household income ($),Whangarei Central,Whangarei Central,41700,nzd,NZD,
2001,Median household income ($),Riverside,Riverside,37900,nzd,NZD,
2006,Median household income ($),Riverside,Riverside,45600,nzd,NZD,
2013,Median household income ($),Riverside,Riverside,49400,nzd,NZD,
2001,Median household income ($),Horahora,Horahora,37800,nzd,NZD,
2006,Median household income ($),Horahora,Horahora,48900,nzd,NZD,
2013,Median household income ($),Horahora,Horahora,55800,nzd,NZD,
2001,Median household income ($),Maunu,Maunu,49400,nzd,NZD,
2006,Median household income ($),Maunu,Maunu,52200,nzd,NZD,
2013,Median household income ($),Maunu,Maunu,63900,nzd,NZD,
2001,Median household income ($),Raumanga East,Raumanga East,26300,nzd,NZD,
2006,Median household income ($),Raumanga East,Raumanga East,32500,nzd,NZD,
2013,Median household income ($),Raumanga East,Raumanga East,39200,nzd,NZD,
2001,Median household income ($),Morningside,Morningside,29800,nzd,NZD,
2006,Median household income ($),Morningside,Morningside,42300,nzd,NZD,
2013,Median household income ($),Morningside,Morningside,48300,nzd,NZD,
2001,Median household income ($),Parahaki,Parahaki,45900,nzd,NZD,
2006,Median household income ($),Parahaki,Parahaki,51800,nzd,NZD,
2013,Median household income ($),Parahaki,Parahaki,63900,nzd,NZD,
2001,Median household income ($),Raumanga West,Raumanga West,30100,nzd,NZD,
2006,Median household income ($),Raumanga West,Raumanga West,40100,nzd,NZD,
2013,Median household income ($),Raumanga West,Raumanga West,45600,nzd,NZD,
2001,Median household income ($),Port-Limeburners,Port-Limeburners,15800,nzd,NZD,
2006,Median household income ($),Port-Limeburners,Port-Limeburners,22500,nzd,NZD,
2013,Median household income ($),Port-Limeburners,Port-Limeburners,39200,nzd,NZD,
2001,Median household income ($),Sherwood Rise,Sherwood Rise,30400,nzd,NZD,
2006,Median household income ($),Sherwood Rise,Sherwood Rise,38600,nzd,NZD,
2013,Median household income ($),Sherwood Rise,Sherwood Rise,44200,nzd,NZD,
2001,Median household income ($),Onerahi,Onerahi,34400,nzd,NZD,
2006,Median household income ($),Onerahi,Onerahi,42000,nzd,NZD,
2013,Median household income ($),Onerahi,Onerahi,54100,nzd,NZD,
2001,Median household income ($),Hikurangi,Hikurangi,29300,nzd,NZD,
2006,Median household income ($),Hikurangi,Hikurangi,38100,nzd,NZD,
2013,Median household income ($),Hikurangi,Hikurangi,41100,nzd,NZD,
2001,Median household income ($),Te Kopuru,Te Kopuru,22100,nzd,NZD,
2006,Median household income ($),Te Kopuru,Te Kopuru,26300,nzd,NZD,
2013,Median household income ($),Te Kopuru,Te Kopuru,30200,nzd,NZD,
2001,Median household income ($),Kaipara Coastal,Kaipara Coastal,34900,nzd,NZD,
2006,Median household income ($),Kaipara Coastal,Kaipara Coastal,39900,nzd,NZD,
2013,Median household income ($),Kaipara Coastal,Kaipara Coastal,47600,nzd,NZD,
2001,Median household income ($),Maungaru,Maungaru,42800,nzd,NZD,
2006,Median household income ($),Maungaru,Maungaru,44200,nzd,NZD,
2013,Median household income ($),Maungaru,Maungaru,55900,nzd,NZD,
2001,Median household income ($),Dargaville,Dargaville,27800,nzd,NZD,
2006,Median household income ($),Dargaville,Dargaville,32300,nzd,NZD,
2013,Median household income ($),Dargaville,Dargaville,35500,nzd,NZD,
2001,Median household income ($),Maungaturoto,Maungaturoto,35500,nzd,NZD,
2006,Median household income ($),Maungaturoto,Maungaturoto,45500,nzd,NZD,
2013,Median household income ($),Maungaturoto,Maungaturoto,45000,nzd,NZD,
2001,Median household income ($),Ruawai,Ruawai,25800,nzd,NZD,
2006,Median household income ($),Ruawai,Ruawai,31700,nzd,NZD,
2013,Median household income ($),Ruawai,Ruawai,30800,nzd,NZD,
2001,Median household income ($),Kaiwaka,Kaiwaka,31300,nzd,NZD,
2006,Median household income ($),Kaiwaka,Kaiwaka,35300,nzd,NZD,
2013,Median household income ($),Kaiwaka,Kaiwaka,44400,nzd,NZD,
2001,Median household income ($),Rehia-Oneriri,Rehia-Oneriri,32400,nzd,NZD,
2006,Median household income ($),Rehia-Oneriri,Rehia-Oneriri,39600,nzd,NZD,
2013,Median household income ($),Rehia-Oneriri,Rehia-Oneriri,44900,nzd,NZD,
2001,Median household income ($),Mangawhai,Mangawhai,26700,nzd,NZD,
2006,Median household income ($),Mangawhai,Mangawhai,37500,nzd,NZD,
2013,Median household income ($),Mangawhai,Mangawhai,42900,nzd,NZD,
2001,Median household income ($),Mangawhai Heads,Mangawhai Heads,26300,nzd,NZD,
2006,Median household income ($),Mangawhai Heads,Mangawhai Heads,35100,nzd,NZD,
2013,Median household income ($),Mangawhai Heads,Mangawhai Heads,39700,nzd,NZD,
2001,Median household income ($),Wellsford,Wellsford,30500,nzd,NZD,
2006,Median household income ($),Wellsford,Wellsford,37700,nzd,NZD,
2013,Median household income ($),Wellsford,Wellsford,37500,nzd,NZD,
2001,Median household income ($),Leigh,Leigh,27100,nzd,NZD,
2006,Median household income ($),Leigh,Leigh,35800,nzd,NZD,
2013,Median household income ($),Leigh,Leigh,48800,nzd,NZD,
2001,Median household income ($),Warkworth,Warkworth,31900,nzd,NZD,
2006,Median household income ($),Warkworth,Warkworth,41700,nzd,NZD,
2013,Median household income ($),Warkworth,Warkworth,52400,nzd,NZD,
2001,Median household income ($),Waimauku,Waimauku,58700,nzd,NZD,
2006,Median household income ($),Waimauku,Waimauku,77900,nzd,NZD,
2013,Median household income ($),Waimauku,Waimauku,99100,nzd,NZD,
2001,Median household income ($),Huapai,Huapai,52300,nzd,NZD,
2006,Median household income ($),Huapai,Huapai,61700,nzd,NZD,
2013,Median household income ($),Huapai,Huapai,74400,nzd,NZD,
2001,Median household income ($),Riverhead Urban,Riverhead Urban,49500,nzd,NZD,
2006,Median household income ($),Riverhead Urban,Riverhead Urban,68600,nzd,NZD,
2013,Median household income ($),Riverhead Urban,Riverhead Urban,89400,nzd,NZD,
2001,Median household income ($),Kumeu East,Kumeu East,47500,nzd,NZD,
2006,Median household income ($),Kumeu East,Kumeu East,72900,nzd,NZD,
2013,Median household income ($),Kumeu East,Kumeu East,87700,nzd,NZD,
2001,Median household income ($),Kumeu West,Kumeu West,60000,nzd,NZD,
2006,Median household income ($),Kumeu West,Kumeu West,81700,nzd,NZD,
2013,Median household income ($),Kumeu West,Kumeu West,95300,nzd,NZD,
2001,Median household income ($),Waipareira West,Waipareira West,48800,nzd,NZD,
2006,Median household income ($),Waipareira West,Waipareira West,66300,nzd,NZD,
2013,Median household income ($),Waipareira West,Waipareira West,81500,nzd,NZD,
2001,Median household income ($),Waiwera,Waiwera,27500,nzd,NZD,
2006,Median household income ($),Waiwera,Waiwera,41700,nzd,NZD,
2013,Median household income ($),Waiwera,Waiwera,58300,nzd,NZD,
2001,Median household income ($),Hatfields Beach,Hatfields Beach,43100,nzd,NZD,
2006,Median household income ($),Hatfields Beach,Hatfields Beach,58200,nzd,NZD,
2013,Median household income ($),Hatfields Beach,Hatfields Beach,74100,nzd,NZD,
2001,Median household income ($),Orewa,Orewa,27300,nzd,NZD,
2006,Median household income ($),Orewa,Orewa,36900,nzd,NZD,
2013,Median household income ($),Orewa,Orewa,47600,nzd,NZD,
2001,Median household income ($),Silverdale Central,Silverdale Central,43300,nzd,NZD,
2006,Median household income ($),Silverdale Central,Silverdale Central,81800,nzd,NZD,
2013,Median household income ($),Silverdale Central,Silverdale Central,109400,nzd,NZD,
2001,Median household income ($),Red Beach West,Red Beach West,32100,nzd,NZD,
2006,Median household income ($),Red Beach West,Red Beach West,48400,nzd,NZD,
2013,Median household income ($),Red Beach West,Red Beach West,53500,nzd,NZD,
2001,Median household income ($),Red Beach East,Red Beach East,42600,nzd,NZD,
2006,Median household income ($),Red Beach East,Red Beach East,57200,nzd,NZD,
2013,Median household income ($),Red Beach East,Red Beach East,73800,nzd,NZD,
2001,Median household income ($),Manly,Manly,37600,nzd,NZD,
2006,Median household income ($),Manly,Manly,52100,nzd,NZD,
2013,Median household income ($),Manly,Manly,63800,nzd,NZD,
2001,Median household income ($),Army Bay,Army Bay,46700,nzd,NZD,
2006,Median household income ($),Army Bay,Army Bay,66000,nzd,NZD,
2013,Median household income ($),Army Bay,Army Bay,76200,nzd,NZD,
2001,Median household income ($),Vipond,Vipond,39000,nzd,NZD,
2006,Median household income ($),Vipond,Vipond,54300,nzd,NZD,
2013,Median household income ($),Vipond,Vipond,65800,nzd,NZD,
2001,Median household income ($),Stanmore Bay West,Stanmore Bay West,43100,nzd,NZD,
2006,Median household income ($),Stanmore Bay West,Stanmore Bay West,57900,nzd,NZD,
2013,Median household income ($),Stanmore Bay West,Stanmore Bay West,69200,nzd,NZD,
2001,Median household income ($),Stanmore Bay East,Stanmore Bay East,42300,nzd,NZD,
2006,Median household income ($),Stanmore Bay East,Stanmore Bay East,53100,nzd,NZD,
2013,Median household income ($),Stanmore Bay East,Stanmore Bay East,59600,nzd,NZD,
2001,Median household income ($),Wade Heads,Wade Heads,46900,nzd,NZD,
2006,Median household income ($),Wade Heads,Wade Heads,58900,nzd,NZD,
2013,Median household income ($),Wade Heads,Wade Heads,73200,nzd,NZD,
2001,Median household income ($),Gulf Harbour,Gulf Harbour,52900,nzd,NZD,
2006,Median household income ($),Gulf Harbour,Gulf Harbour,71100,nzd,NZD,
2013,Median household income ($),Gulf Harbour,Gulf Harbour,75100,nzd,NZD,
2001,Median household income ($),Gulf Harbour Marina,Gulf Harbour Marina,75000,nzd,NZD,
2006,Median household income ($),Gulf Harbour Marina,Gulf Harbour Marina,,nzd,NZD,confidential
2013,Median household income ($),Gulf Harbour Marina,Gulf Harbour Marina,,nzd,NZD,confidential
2001,Median household income ($),Weiti River,Weiti River,30600,nzd,NZD,
2006,Median household income ($),Weiti River,Weiti River,51300,nzd,NZD,
2013,Median household income ($),Weiti River,Weiti River,78200,nzd,NZD,
2001,Median household income ($),Stillwater,Stillwater,50800,nzd,NZD,
2006,Median household income ($),Stillwater,Stillwater,70300,nzd,NZD,
2013,Median household income ($),Stillwater,Stillwater,83000,nzd,NZD,
2001,Median household income ($),Silverdale South,Silverdale South,55800,nzd,NZD,
2006,Median household income ($),Silverdale South,Silverdale South,69300,nzd,NZD,
2013,Median household income ($),Silverdale South,Silverdale South,98400,nzd,NZD,
2001,Median household income ($),Silverdale North,Silverdale North,51700,nzd,NZD,
2006,Median household income ($),Silverdale North,Silverdale North,67900,nzd,NZD,
2013,Median household income ($),Silverdale North,Silverdale North,76400,nzd,NZD,
2001,Median household income ($),Orewa West,Orewa West,53300,nzd,NZD,
2006,Median household income ($),Orewa West,Orewa West,75000,nzd,NZD,
2013,Median household income ($),Orewa West,Orewa West,65000,nzd,NZD,
2001,Median household income ($),Dairy Flat-Redvale,Dairy Flat-Redvale,67400,nzd,NZD,
2006,Median household income ($),Dairy Flat-Redvale,Dairy Flat-Redvale,85000,nzd,NZD,
2013,Median household income ($),Dairy Flat-Redvale,Dairy Flat-Redvale,106100,nzd,NZD,
2001,Median household income ($),Paremoremo West,Paremoremo West,63300,nzd,NZD,
2006,Median household income ($),Paremoremo West,Paremoremo West,85000,nzd,NZD,
2013,Median household income ($),Paremoremo West,Paremoremo West,116700,nzd,NZD,
2001,Median household income ($),Tauhoa-Puhoi,Tauhoa-Puhoi,42600,nzd,NZD,
2006,Median household income ($),Tauhoa-Puhoi,Tauhoa-Puhoi,59000,nzd,NZD,
2013,Median household income ($),Tauhoa-Puhoi,Tauhoa-Puhoi,69400,nzd,NZD,
2001,Median household income ($),Tahekeroa,Tahekeroa,58700,nzd,NZD,
2006,Median household income ($),Tahekeroa,Tahekeroa,75700,nzd,NZD,
2013,Median household income ($),Tahekeroa,Tahekeroa,92500,nzd,NZD,
2001,Median household income ($),Matheson Bay,Matheson Bay,27500,nzd,NZD,
2006,Median household income ($),Matheson Bay,Matheson Bay,45000,nzd,NZD,
2013,Median household income ($),Matheson Bay,Matheson Bay,36300,nzd,NZD,
2001,Median household income ($),Kawau,Kawau,17500,nzd,NZD,
2006,Median household income ($),Kawau,Kawau,22500,nzd,NZD,
2013,Median household income ($),Kawau,Kawau,35800,nzd,NZD,
2001,Median household income ($),Snells Beach,Snells Beach,30000,nzd,NZD,
2006,Median household income ($),Snells Beach,Snells Beach,42000,nzd,NZD,
2013,Median household income ($),Snells Beach,Snells Beach,49100,nzd,NZD,
2001,Median household income ($),Algies Bay,Algies Bay,28900,nzd,NZD,
2006,Median household income ($),Algies Bay,Algies Bay,42900,nzd,NZD,
2013,Median household income ($),Algies Bay,Algies Bay,54300,nzd,NZD,
2001,Median household income ($),Mahurangi,Mahurangi,30800,nzd,NZD,
2006,Median household income ($),Mahurangi,Mahurangi,60000,nzd,NZD,
2013,Median household income ($),Mahurangi,Mahurangi,72100,nzd,NZD,
2001,Median household income ($),South Head,South Head,41700,nzd,NZD,
2006,Median household income ($),South Head,South Head,50400,nzd,NZD,
2013,Median household income ($),South Head,South Head,59100,nzd,NZD,
2001,Median household income ($),Parakai Rural,Parakai Rural,40400,nzd,NZD,
2006,Median household income ($),Parakai Rural,Parakai Rural,51400,nzd,NZD,
2013,Median household income ($),Parakai Rural,Parakai Rural,67500,nzd,NZD,
